 x[m],y[m],z[m],gv[mGal],Std_dev[mGal]
   825.000,    675.000,     0.010, 0.9264E+00,  0.100
   825.000,    725.000,     0.010, 0.8497E+00,  0.100
   825.000,    775.000,     0.010, 0.8211E+00,  0.100
   825.000,    825.000,     0.010, 0.4451E+00,  0.100
   825.000,    875.000,     0.010, 0.6947E+00,  0.100
   825.000,    925.000,     0.010, 0.6151E+00,  0.100
   825.000,    975.000,     0.010, 0.4102E+00,  0.100
   875.000,     25.000,     0.010, 0.8249E+00,  0.100
   875.000,     75.000,     0.010, 0.7859E+00,  0.100
   875.000,    125.000,     0.010, 0.1077E+01,  0.100
   875.000,    175.000,     0.010, 0.1315E+01,  0.100
   875.000,    225.000,     0.010, 0.1305E+01,  0.100
   875.000,    275.000,     0.010, 0.1054E+01,  0.100
   875.000,    325.000,     0.010, 0.1294E+01,  0.100
   875.000,    375.000,     0.010, 0.9858E+00,  0.100
   875.000,    425.000,     0.010, 0.9601E+00,  0.100
   875.000,    475.000,     0.010, 0.9793E+00,  0.100
   875.000,    525.000,     0.010, 0.6835E+00,  0.100
   875.000,    575.000,     0.010, 0.7940E+00,  0.100
   875.000,    625.000,     0.010, 0.5092E+00,  0.100
   875.000,    675.000,     0.010, 0.7288E+00,  0.100
   875.000,    725.000,     0.010, 0.6827E+00,  0.100
   875.000,    775.000,     0.010, 0.3998E+00,  0.100
   875.000,    825.000,     0.010, 0.5583E+00,  0.100
   875.000,    875.000,     0.010, 0.3116E+00,  0.100
   875.000,    925.000,     0.010, 0.2289E+00,  0.100
   875.000,    975.000,     0.010, 0.1589E+00,  0.100
   925.000,     25.000,     0.010, 0.8479E+00,  0.100
   925.000,     75.000,     0.010, 0.1110E+01,  0.100
   925.000,    125.000,     0.010, 0.1385E+01,  0.100
   925.000,    175.000,     0.010, 0.1371E+01,  0.100
   925.000,    225.000,     0.010, 0.1455E+01,  0.100
   925.000,    275.000,     0.010, 0.1331E+01,  0.100
   925.000,    325.000,     0.010, 0.1196E+01,  0.100
   925.000,    375.000,     0.010, 0.9432E+00,  0.100
   925.000,    425.000,     0.010, 0.9031E+00,  0.100
   925.000,    475.000,     0.010, 0.9076E+00,  0.100
   925.000,    525.000,     0.010, 0.6323E+00,  0.100
   925.000,    575.000,     0.010, 0.6717E+00,  0.100
   925.000,    625.000,     0.010, 0.3756E+00,  0.100
   925.000,    675.000,     0.010, 0.5026E+00,  0.100
   925.000,    725.000,     0.010, 0.3283E+00,  0.100
   925.000,    775.000,     0.010, 0.4807E+00,  0.100
   925.000,    825.000,     0.010, 0.4094E+00,  0.100
   925.000,    875.000,     0.010, 0.4885E+00,  0.100
   925.000,    925.000,     0.010, 0.2600E+00,  0.100
   925.000,    975.000,     0.010, 0.2548E+00,  0.100
   975.000,     25.000,     0.010, 0.9568E+00,  0.100
   975.000,     75.000,     0.010, 0.1267E+01,  0.100
   975.000,    125.000,     0.010, 0.1268E+01,  0.100
   975.000,    175.000,     0.010, 0.1334E+01,  0.100
   975.000,    225.000,     0.010, 0.1455E+01,  0.100
   975.000,    275.000,     0.010, 0.1539E+01,  0.100
   975.000,    325.000,     0.010, 0.1496E+01,  0.100
   975.000,    375.000,     0.010, 0.1069E+01,  0.100
   975.000,    425.000,     0.010, 0.8433E+00,  0.100
   975.000,    475.000,     0.010, 0.7767E+00,  0.100
   975.000,    525.000,     0.010, 0.6956E+00,  0.100
   975.000,    575.000,     0.010, 0.5421E+00,  0.100
   975.000,    625.000,     0.010, 0.2943E+00,  0.100
   975.000,    675.000,     0.010, 0.1431E+00,  0.100
   975.000,    725.000,     0.010, 0.1888E+00,  0.100
   975.000,    775.000,     0.010, 0.1993E+00,  0.100
   975.000,    825.000,     0.010, 0.1607E+00,  0.100
   975.000,    875.000,     0.010, 0.1024E+00,  0.100
   975.000,    925.000,     0.010, 0.3391E+00,  0.100
   975.000,    975.000,     0.010, 0.3252E+00,  0.100
  1025.000,     25.000,     0.010, 0.8414E+00,  0.100
  1025.000,     75.000,     0.010, 0.1180E+01,  0.100
  1025.000,    125.000,     0.010, 0.1749E+01,  0.100
  1025.000,    175.000,     0.010, 0.1860E+01,  0.100
  1025.000,    225.000,     0.010, 0.1917E+01,  0.100
  1025.000,    275.000,     0.010, 0.1904E+01,  0.100
  1025.000,    325.000,     0.010, 0.1380E+01,  0.100
  1025.000,    375.000,     0.010, 0.1444E+01,  0.100
  1025.000,    425.000,     0.010, 0.9504E+00,  0.100
  1025.000,    475.000,     0.010, 0.8285E+00,  0.100
  1025.000,    525.000,     0.010, 0.4960E+00,  0.100
