 x[m],y[m],z[m],gv[mGal],Std_dev[mGal]
   725.000,    425.000,     0.010, 0.9453E+00,  0.100
   725.000,    475.000,     0.010, 0.9541E+00,  0.100
   725.000,    525.000,     0.010, 0.9714E+00,  0.100
   725.000,    575.000,     0.010, 0.9936E+00,  0.100
   725.000,    625.000,     0.010, 0.1012E+01,  0.100
   725.000,    675.000,     0.010, 0.1014E+01,  0.100
   725.000,    725.000,     0.010, 0.9908E+00,  0.100
   725.000,    775.000,     0.010, 0.9376E+00,  0.100
   725.000,    825.000,     0.010, 0.8572E+00,  0.100
   725.000,    875.000,     0.010, 0.7587E+00,  0.100
   725.000,    925.000,     0.010, 0.6537E+00,  0.100
   725.000,    975.000,     0.010, 0.5525E+00,  0.100
   775.000,     25.000,     0.010, 0.6933E+00,  0.100
   775.000,     75.000,     0.010, 0.7850E+00,  0.100
   775.000,    125.000,     0.010, 0.8678E+00,  0.100
   775.000,    175.000,     0.010, 0.9332E+00,  0.100
   775.000,    225.000,     0.010, 0.9749E+00,  0.100
   775.000,    275.000,     0.010, 0.9910E+00,  0.100
   775.000,    325.000,     0.010, 0.9854E+00,  0.100
   775.000,    375.000,     0.010, 0.9662E+00,  0.100
   775.000,    425.000,     0.010, 0.9435E+00,  0.100
   775.000,    475.000,     0.010, 0.9258E+00,  0.100
   775.000,    525.000,     0.010, 0.9171E+00,  0.100
   775.000,    575.000,     0.010, 0.9157E+00,  0.100
   775.000,    625.000,     0.010, 0.9143E+00,  0.100
   775.000,    675.000,     0.010, 0.9030E+00,  0.100
   775.000,    725.000,     0.010, 0.8736E+00,  0.100
   775.000,    775.000,     0.010, 0.8220E+00,  0.100
   775.000,    825.000,     0.010, 0.7501E+00,  0.100
   775.000,    875.000,     0.010, 0.6647E+00,  0.100
   775.000,    925.000,     0.010, 0.5748E+00,  0.100
   775.000,    975.000,     0.010, 0.4885E+00,  0.100
   825.000,     25.000,     0.010, 0.7484E+00,  0.100
   825.000,     75.000,     0.010, 0.8575E+00,  0.100
   825.000,    125.000,     0.010, 0.9559E+00,  0.100
   825.000,    175.000,     0.010, 0.1031E+01,  0.100
   825.000,    225.000,     0.010, 0.1072E+01,  0.100
   825.000,    275.000,     0.010, 0.1077E+01,  0.100
   825.000,    325.000,     0.010, 0.1050E+01,  0.100
   825.000,    375.000,     0.010, 0.1002E+01,  0.100
   825.000,    425.000,     0.010, 0.9466E+00,  0.100
   825.000,    475.000,     0.010, 0.8962E+00,  0.100
   825.000,    525.000,     0.010, 0.8566E+00,  0.100
   825.000,    575.000,     0.010, 0.8276E+00,  0.100
   825.000,    625.000,     0.010, 0.8036E+00,  0.100
   825.000,    675.000,     0.010, 0.7769E+00,  0.100
   825.000,    725.000,     0.010, 0.7407E+00,  0.100
   825.000,    775.000,     0.010, 0.6913E+00,  0.100
   825.000,    825.000,     0.010, 0.6293E+00,  0.100
   825.000,    875.000,     0.010, 0.5590E+00,  0.100
   825.000,    925.000,     0.010, 0.4864E+00,  0.100
   825.000,    975.000,     0.010, 0.4170E+00,  0.100
   875.000,     25.000,     0.010, 0.8101E+00,  0.100
   875.000,     75.000,     0.010, 0.9436E+00,  0.100
   875.000,    125.000,     0.010, 0.1065E+01,  0.100
   875.000,    175.000,     0.010, 0.1155E+01,  0.100
   875.000,    225.000,     0.010, 0.1199E+01,  0.100
   875.000,    275.000,     0.010, 0.1190E+01,  0.100
   875.000,    325.000,     0.010, 0.1135E+01,  0.100
   875.000,    375.000,     0.010, 0.1049E+01,  0.100
   875.000,    425.000,     0.010, 0.9539E+00,  0.100
   875.000,    475.000,     0.010, 0.8646E+00,  0.100
   875.000,    525.000,     0.010, 0.7898E+00,  0.100
   875.000,    575.000,     0.010, 0.7303E+00,  0.100
   875.000,    625.000,     0.010, 0.6820E+00,  0.100
   875.000,    675.000,     0.010, 0.6391E+00,  0.100
   875.000,    725.000,     0.010, 0.5959E+00,  0.100
   875.000,    775.000,     0.010, 0.5492E+00,  0.100
   875.000,    825.000,     0.010, 0.4982E+00,  0.100
   875.000,    875.000,     0.010, 0.4445E+00,  0.100
   875.000,    925.000,     0.010, 0.3908E+00,  0.100
   875.000,    975.000,     0.010, 0.3400E+00,  0.100
   925.000,     25.000,     0.010, 0.8763E+00,  0.100
   925.000,     75.000,     0.010, 0.1044E+01,  0.100
   925.000,    125.000,     0.010, 0.1200E+01,  0.100
   925.000,    175.000,     0.010, 0.1314E+01,  0.100
   925.000,    225.000,     0.010, 0.1362E+01,  0.100
   925.000,    275.000,     0.010, 0.1336E+01,  0.100
   925.000,    325.000,     0.010, 0.1244E+01,  0.100
   925.000,    375.000,     0.010, 0.1110E+01,  0.100
   925.000,    425.000,     0.010, 0.9641E+00,  0.100
   925.000,    475.000,     0.010, 0.8289E+00,  0.100
   925.000,    525.000,     0.010, 0.7148E+00,  0.100
   925.000,    575.000,     0.010, 0.6226E+00,  0.100
   925.000,    625.000,     0.010, 0.5486E+00,  0.100
   925.000,    675.000,     0.010, 0.4886E+00,  0.100
   925.000,    725.000,     0.010, 0.4386E+00,  0.100
   925.000,    775.000,     0.010, 0.3956E+00,  0.100
